ตารางปฏิบัติงาน ประจำเดือน ตุลาคม 2567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
กลุ่มงานการเงิน (U01) โรงพยาบาลมหาราชนครราชสีมา  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ที่,ชื่อ - นามสกุล,,ตำแหน่ง,วันที่ปฏิบัติงาน,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,หมายเหตุ,,
,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,
,,,,จ,อ,พ,พฤ,ศ,ส,อา,จ,อ,พ,พฤ,ศ,ส,อา,จ,อ,พ,พฤ,ศ,ส,อา,จ,อ,พ,พฤ,ศ,ส,อา,จ,อ,พ ,,,
1,นางสาวดินสอ,ระบายสี,นักวิชาการเงินและบัญชี,,,BD,,,ชot,,,,,,,,ชot,,,BD,,,,ชot,,,,,BD,,,,,,,,
,,,,ช,ช,ช,ช,ช,ออฟ,ออฟ,ช,ช,ช,ช,ช,ออฟ,ออฟ,ช,ช,ช,ช,ช,ออฟ,ออฟ,ออฟ,ช,ช,ช,ช,ออฟ,ออฟ,ออฟ,ช,ช,,,
2,นายต้นไม้,ยืนต้น,จพ.การเงินและบัญชี,,,BD,BD,,,ชot,,,BD,,,ชot,,,,,,,,,ชot,,,,BD,,ชot,,,,,,
,,,,ช,ช,ช,ช,ช,ออฟ,ออฟ,ช,ช,ช,ช,ช,ออฟ,ออฟ,ช,ช,ช,ช,ช,ออฟ,ออฟ,ออฟ,ช,ช,ช,ช,ออฟ,ออฟ,ออฟ,ช,ช,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,หมายเหตุ : เบิกตามเวลาที่ขึ้นปฏิบัติงานจริง,,,,,,(ลงชื่อ)....................................................หัวหน้าผู้ควบคุม,,,,,,,,,,,,,,,,,(ลงชื่อ)............................................ผู้อนุมัติ,,,,,,,,,,,,,
ช,ปฏิบัติงานวันทำการในเวลาราชการ  08.30 - 16.30 น.,,,,,,(นางสาววรรณทิพย์  รีพล),,,,,,,,,,,,,,,,,(นางนฤมล  ศรีสรรพ์),,,,,,,,,,,,,
BD,ปฏิบัติงานนอกเวลาราชการ  16.30-20.30 น.,,,,,,นักวิชาการเงินและบัญชีชำนาญการ,,,,,,,,,,,,,,,,,รองผู้อำนวยการฝ่ายบริหาร,,,,,,,,,,,,,
ชot,ปฏิบัติงานวันหยุดราชการ  08.30 - 16.30 น.,,,,,,หัวหน้ากลุ่มงานการเงิน,,,,,,,,,,,,,,,,,ปฏิบัติราชการแทน ผู้อำนวยการโรงพยาบาลมหาราชนครราชสีมา,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
